event_id,scanner_id,event_type,barcode_gtin,item_id,item_description,lot_id,batch_number,location_id,quantity_delta,event_timestamp,case_id,operator_role,source_system
SCAN-20260708-000031,SCAN-IMPLANT-01,issue_to_case,05033412328120,INV-CONS-PULSE_LAVAGE_TIP,Pulse Lavage Tip,LOT-CONS-PULSE_LAVAGE_TIP-01,B288056,LOC-STOCK-01,1,2026-07-05T05:12:00+00:00,CASE-248970,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000032,SCAN-IMPLANT-01,return_to_store,05056342160733,INV-DRAP-ANKLE_ARTHROSCOPY_DRAPE_PACK,Ankle Arthroscopy Drape Pack,LOT-DRAP-ANKLE_ARTHROSCOPY_DRAPE_PACK-01,B991737,LOC-STOCK-02,-1,2026-06-24T23:02:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000033,SCAN-STORE-01,issue_to_case,05084511544796,INV-SUTU-FIBERWIRE_5,FiberWire #5,LOT-SUTU-FIBERWIRE_5-01,B304206,LOC-STOCK-03,-3,2026-06-29T09:57:00+00:00,CASE-247786,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000034,SCAN-T2-01,receipt_scan,05091146786691,INV-SUTU-PDS_II_2_0,PDS II 2-0,LOT-SUTU-PDS_II_2_0-01,B695417,LOC-STOCK-05,-1,2026-06-27T12:17:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000035,SCAN-STORE-01,issue_to_case,05062456506098,INV-DRES-AQUACEL_AG,Aquacel Ag,LOT-DRES-AQUACEL_AG-02,B472787,LOC-STOCK-01,1,2026-06-28T16:18:00+00:00,CASE-246344,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000036,SCAN-T1-01,issue_to_case,05029014767976,INV-DISP-STEINMANN_PIN_3_0MM,Steinmann Pin 3.0mm,LOT-DISP-STEINMANN_PIN_3_0MM-03,B308296,LOC-STOCK-04,-2,2026-06-27T22:01:00+00:00,CASE-244544,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000037,SCAN-T1-01,return_to_store,05056159514846,INV-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P,Hand and Foot Aperture Drape Pack,LOT-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P-04,B414313,LOC-STOCK-04,-1,2026-06-30T23:20:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000038,SCAN-T1-01,receipt_scan,05056258815371,INV-SUTU-VICRYL_1,Vicryl 1,LOT-SUTU-VICRYL_1-02,B574760,LOC-STOCK-05,1,2026-06-25T16:06:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000039,SCAN-T2-01,quarantine_scan,05018384251354,INV-EQUI-DIATHERMY_MACHINE,Diathermy Machine,LOT-EQUI-DIATHERMY_MACHINE-01,B329344,LOC-STOCK-01,-3,2026-06-27T04:08:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000040,SCAN-T2-01,receipt_scan,05053287101226,INV-INST-JOURNEY_II_BCS_KNEE_SYSTEM,JOURNEY II BCS Knee System,LOT-INST-JOURNEY_II_BCS_KNEE_SYSTEM-01,B663356,LOC-STOCK-02,1,2026-07-01T17:51:00+00:00,,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000041,SCAN-IMPLANT-01,stock_count,05087603859770,INV-CONS-STERILE_GLOVES,Sterile Gloves,LOT-CONS-STERILE_GLOVES-02,B710610,LOC-STOCK-01,1,2026-06-25T20:37:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000042,SCAN-T1-01,issue_to_case,05082675869261,INV-DISP-DISPOSABLE_DRILL_BIT_3_2MM,Disposable Drill Bit 3.2mm,LOT-DISP-DISPOSABLE_DRILL_BIT_3_2MM-03,B690016,LOC-STOCK-01,-1,2026-07-07T11:18:00+00:00,CASE-245569,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000043,SCAN-STORE-01,issue_to_case,05007527354549,INV-CONS-DIATHERMY_PENCIL,Diathermy Pencil,LOT-CONS-DIATHERMY_PENCIL-04,B531709,LOC-STOCK-02,-1,2026-07-02T03:33:00+00:00,CASE-241491,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000044,SCAN-STORE-01,transfer,05014895134332,INV-DRAP-PLASTIC_U_DRAPE,Plastic U drape,LOT-DRAP-PLASTIC_U_DRAPE-01,B672133,LOC-STOCK-05,1,2026-07-03T20:15:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000045,SCAN-IMPLANT-01,receipt_scan,05056159514846,INV-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P,Hand and Foot Aperture Drape Pack,LOT-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P-04,B414313,LOC-STOCK-04,-2,2026-07-04T03:36:00+00:00,,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000046,SCAN-T2-01,quarantine_scan,05051778528922,INV-SUTU-PROLENE_3_0,Prolene 3-0,LOT-SUTU-PROLENE_3_0-02,B499581,LOC-STOCK-01,1,2026-07-06T16:04:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000047,SCAN-T2-01,receipt_scan,05066752545991,INV-DISP-SCALPEL_BLADE_15,Scalpel Blade #15,LOT-DISP-SCALPEL_BLADE_15-04,B537020,LOC-STOCK-01,-1,2026-06-30T14:57:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000048,SCAN-T1-01,quarantine_scan,05045502296120,INV-DISP-PULSE_LAVAGE_TIP,Pulse Lavage Tip,LOT-DISP-PULSE_LAVAGE_TIP-01,B866151,LOC-STOCK-02,1,2026-07-03T09:23:00+00:00,,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000049,SCAN-IMPLANT-01,transfer,05055188442258,INV-SUTU-PDS_II_0,PDS II 0,LOT-SUTU-PDS_II_0-01,B742544,LOC-STOCK-03,-1,2026-06-26T12:32:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000050,SCAN-STORE-01,issue_to_case,05077434873471,INV-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC,Shoulder Arthroscopy Drape Pack,LOT-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC-01,B190025,LOC-STOCK-04,-1,2026-06-25T09:56:00+00:00,CASE-246669,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000051,SCAN-T2-01,receipt_scan,05021418880592,INV-IMPL-LAG_SCREW_KIT,Lag Screw Kit,LOT-IMPL-LAG_SCREW_KIT-01,B554059,LOC-STOCK-04,1,2026-07-01T21:01:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000052,SCAN-T2-01,stock_count,05043102786814,INV-SUTU-NYLON_3_0,Nylon 3-0,LOT-SUTU-NYLON_3_0-03,B473321,LOC-STOCK-05,-3,2026-06-25T09:04:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000053,SCAN-IMPLANT-01,issue_to_case,05066587603669,INV-DRAP-SPINE_SURGICAL_DRAPE_PACK,Spine Surgical Drape Pack,LOT-DRAP-SPINE_SURGICAL_DRAPE_PACK-03,B206694,LOC-STOCK-05,-1,2026-07-06T02:11:00+00:00,CASE-248199,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000054,SCAN-T2-01,issue_to_case,05004653755646,INV-DRAP-WATER_REPELLENT,Water Repellent,LOT-DRAP-WATER_REPELLENT-01,B134283,LOC-STOCK-03,-3,2026-07-02T10:07:00+00:00,CASE-248806,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000055,SCAN-T1-01,issue_to_case,05040345054156,INV-SUTU-FIBERTAPE_2MM,FiberTape 2mm,LOT-SUTU-FIBERTAPE_2MM-03,B568288,LOC-STOCK-02,-3,2026-06-27T10:15:00+00:00,CASE-244739,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000056,SCAN-IMPLANT-01,receipt_scan,05014919058651,INV-CONS-BONE_CEMENT_MIXING_BOWL_KIT,Bone Cement Mixing Bowl Kit,LOT-CONS-BONE_CEMENT_MIXING_BOWL_KIT-01,B230272,LOC-STOCK-01,2,2026-06-24T09:30:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000057,SCAN-STORE-01,issue_to_case,05085239868000,INV-DRES-CREPE_BANDAGE,Crepe Bandage,LOT-DRES-CREPE_BANDAGE-01,B742818,LOC-STOCK-02,-3,2026-07-03T03:49:00+00:00,CASE-249587,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000058,SCAN-T1-01,receipt_scan,05079237474074,INV-DISP-ARTHROSCOPY_SHAVER_BLADE_4_0MM,Arthroscopy Shaver Blade 4.0mm,LOT-DISP-ARTHROSCOPY_SHAVER_BLADE_4_0MM-01,B463656,LOC-STOCK-02,2,2026-07-05T23:01:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000059,SCAN-T2-01,receipt_scan,05068970283857,INV-DRES-OPSITE_FLEXIFIX,Opsite Flexifix,LOT-DRES-OPSITE_FLEXIFIX-01,B985893,LOC-STOCK-03,-2,2026-06-25T08:06:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000060,SCAN-STORE-01,issue_to_case,05096816453521,INV-IMPL-CERAMIC_HEAD_COMPONENT,Ceramic Head Component,LOT-IMPL-CERAMIC_HEAD_COMPONENT-01,B647341,LOC-STOCK-05,-2,2026-06-30T04:53:00+00:00,CASE-244282,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000061,SCAN-STORE-01,issue_to_case,05047700541199,INV-IMPL-FEMORAL_COMPONENT,Femoral Component,LOT-IMPL-FEMORAL_COMPONENT-03,B379947,LOC-STOCK-02,2,2026-07-03T04:59:00+00:00,CASE-247533,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000062,SCAN-T2-01,receipt_scan,05006431713900,INV-DISP-DISPOSABLE_FEMORAL_CANAL_BRUSH,Disposable Femoral Canal Brush,LOT-DISP-DISPOSABLE_FEMORAL_CANAL_BRUSH-01,B911630,LOC-STOCK-04,-2,2026-07-07T22:53:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000063,SCAN-T1-01,receipt_scan,05062914865281,INV-IMPL-HUMERAL_TRAY,Humeral Tray,LOT-IMPL-HUMERAL_TRAY-03,B941814,LOC-STOCK-05,-2,2026-07-04T01:14:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000064,SCAN-IMPLANT-01,return_to_store,05040345054156,INV-SUTU-FIBERTAPE_2MM,FiberTape 2mm,LOT-SUTU-FIBERTAPE_2MM-03,B568288,LOC-STOCK-02,-3,2026-06-29T01:30:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000065,SCAN-T1-01,stock_count,05098169340608,INV-DRAP-EXTREMITY_DRAPE,Extremity Drape,LOT-DRAP-EXTREMITY_DRAPE-01,B238943,LOC-STOCK-01,-1,2026-07-07T07:06:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000066,SCAN-STORE-01,stock_count,05052717744905,INV-IMPL-DISTAL_FIBULA_PLATE_SET,Distal Fibula Plate Set,LOT-IMPL-DISTAL_FIBULA_PLATE_SET-03,B943890,LOC-STOCK-04,-3,2026-06-29T10:27:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000067,SCAN-T1-01,issue_to_case,05052711116152,INV-DISP-DISPOSABLE_TROCAR_SET,Disposable Trocar Set,LOT-DISP-DISPOSABLE_TROCAR_SET-01,B631958,LOC-STOCK-03,1,2026-06-27T11:19:00+00:00,CASE-246069,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000068,SCAN-T1-01,receipt_scan,05052717744905,INV-IMPL-DISTAL_FIBULA_PLATE_SET,Distal Fibula Plate Set,LOT-IMPL-DISTAL_FIBULA_PLATE_SET-03,B943890,LOC-STOCK-04,-3,2026-07-01T14:28:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000069,SCAN-T1-01,issue_to_case,05027858549733,INV-DRES-OPSITE_POST_OP,Opsite Post-Op,LOT-DRES-OPSITE_POST_OP-03,B858729,LOC-STOCK-01,-3,2026-06-24T00:59:00+00:00,CASE-244967,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000070,SCAN-IMPLANT-01,issue_to_case,05083242102499,INV-CONS-SAW_BLADE_CONMED_X_1_REF_5071_,Saw Blade (Conmed) x 1 Ref#5071-201,LOT-CONS-SAW_BLADE_CONMED_X_1_REF_5071_-02,B106687,LOC-STOCK-02,2,2026-07-07T03:55:00+00:00,CASE-244599,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000071,SCAN-T2-01,stock_count,05068970283857,INV-DRES-OPSITE_FLEXIFIX,Opsite Flexifix,LOT-DRES-OPSITE_FLEXIFIX-04,B414922,LOC-STOCK-01,1,2026-07-03T12:55:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000072,SCAN-STORE-01,receipt_scan,05029014767976,INV-DISP-STEINMANN_PIN_3_0MM,Steinmann Pin 3.0mm,LOT-DISP-STEINMANN_PIN_3_0MM-03,B308296,LOC-STOCK-04,-1,2026-06-26T14:46:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000073,SCAN-T2-01,transfer,05067165726284,INV-CONS-BONE_WAX,Bone Wax,LOT-CONS-BONE_WAX-02,B515594,LOC-STOCK-01,1,2026-06-24T14:48:00+00:00,,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000074,SCAN-T2-01,receipt_scan,05015869232260,INV-EQUI-SUCTION_MACHINE,Suction Machine,LOT-EQUI-SUCTION_MACHINE-01,B321686,LOC-STOCK-02,-1,2026-07-01T18:11:00+00:00,,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000075,SCAN-STORE-01,receipt_scan,05016878499121,INV-DRES-AQUACEL_SURGICAL,Aquacel Surgical,LOT-DRES-AQUACEL_SURGICAL-04,B436272,LOC-STOCK-02,-2,2026-06-25T06:07:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000076,SCAN-T1-01,return_to_store,05001338908386,INV-INST-BICEPS_TENODESIS_KIT,Biceps Tenodesis Kit,LOT-INST-BICEPS_TENODESIS_KIT-01,B744481,LOC-STOCK-03,-3,2026-06-30T15:36:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000077,SCAN-IMPLANT-01,issue_to_case,05090034324451,INV-DISP-SURGICAL_PATTIES,Surgical Patties,LOT-DISP-SURGICAL_PATTIES-01,B490722,LOC-STOCK-01,-1,2026-06-29T18:36:00+00:00,CASE-248474,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000078,SCAN-STORE-01,issue_to_case,05021993308330,INV-DRES-STERI_STRIPS_6MM,Steri-Strips 6mm,LOT-DRES-STERI_STRIPS_6MM-01,B674779,LOC-STOCK-01,-1,2026-06-25T21:14:00+00:00,CASE-247354,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000079,SCAN-STORE-01,issue_to_case,05079402654235,INV-INST-CPCS_TOTAL_HIP_SYSTEM,CPCS Total Hip System,LOT-INST-CPCS_TOTAL_HIP_SYSTEM-01,B836038,LOC-STOCK-04,1,2026-06-24T23:43:00+00:00,CASE-240415,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000080,SCAN-IMPLANT-01,quarantine_scan,05074648877190,INV-CONS-SCALPEL_BLADE_10,Scalpel Blade #10,LOT-CONS-SCALPEL_BLADE_10-01,B162804,LOC-STOCK-04,1,2026-07-02T07:29:00+00:00,,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000081,SCAN-T1-01,issue_to_case,05024190496631,INV-CONS-BLADDER_SYRINGE,Bladder Syringe,LOT-CONS-BLADDER_SYRINGE-04,B993829,LOC-STOCK-05,-2,2026-07-05T19:11:00+00:00,CASE-240456,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000082,SCAN-STORE-01,stock_count,05096816453521,INV-IMPL-CERAMIC_HEAD_COMPONENT,Ceramic Head Component,LOT-IMPL-CERAMIC_HEAD_COMPONENT-01,B647341,LOC-STOCK-05,-3,2026-07-02T07:15:00+00:00,,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000083,SCAN-STORE-01,issue_to_case,05072788957986,INV-DRAP-REINFORCED_SPLIT_SHEET_200X260,Reinforced Split Sheet (200x260cm),LOT-DRAP-REINFORCED_SPLIT_SHEET_200X260-01,B776364,LOC-STOCK-05,-3,2026-07-06T18:17:00+00:00,CASE-245465,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000084,SCAN-IMPLANT-01,quarantine_scan,05074680715451,INV-CONS-SKIN_MARKER_PEN,Skin Marker Pen,LOT-CONS-SKIN_MARKER_PEN-02,B966529,LOC-STOCK-03,-3,2026-07-05T19:46:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000085,SCAN-T1-01,transfer,05052717744905,INV-IMPL-DISTAL_FIBULA_PLATE_SET,Distal Fibula Plate Set,LOT-IMPL-DISTAL_FIBULA_PLATE_SET-04,B763311,LOC-STOCK-05,1,2026-07-07T05:48:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000086,SCAN-T1-01,return_to_store,05017461200471,INV-DISP-DISPOSABLE_DRILL_BIT_2_5MM,Disposable Drill Bit 2.5mm,LOT-DISP-DISPOSABLE_DRILL_BIT_2_5MM-01,B543940,LOC-STOCK-01,-3,2026-07-05T02:21:00+00:00,,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000087,SCAN-IMPLANT-01,receipt_scan,05052717744905,INV-IMPL-DISTAL_FIBULA_PLATE_SET,Distal Fibula Plate Set,LOT-IMPL-DISTAL_FIBULA_PLATE_SET-02,B503348,LOC-STOCK-05,1,2026-07-05T16:24:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
