item_id,canonical_name,item_type,clinical_category,manufacturer,supplier_id,supplier_name,catalogue_number,barcode_gtin,unit_of_measure,sterile_required,single_use,implantable,controlled_item,active_status,source_profile_count,related_procedures
INV-EQUI-CEMENT_VACUUM_FOOT_PUMP,Cement Vacuum Foot Pump,equipment,Bone cement and cementing,DePuy Synthes,SUP-DEPUY,DePuy Synthes,EQU-624991,05099091699854,device,False,False,False,False,active,1,Total Knee Replacement
INV-EQUI-CEMENT_VACUUM_FOOTPUMP,Cement Vacuum Footpump,equipment,Bone cement and cementing,DePuy Synthes,SUP-DEPUY,DePuy Synthes,EQU-850094,05053462475107,device,False,False,False,False,active,1,Total Hip Replacement (Cemented)
INV-EQUI-DIATHERMY_MACHINE,Diathermy Machine,equipment,Reusable theatre equipment,Stryker,SUP-STRYKER,Stryker UK,EQU-431764,05018384251354,device,False,False,False,False,active,2,Total Hip Replacement (Cemented); Total Knee Replacement
INV-EQUI-JACKSON_SPINAL_SURGERY_TABLE,Jackson Spinal Surgery Table,equipment,Reusable theatre equipment,DePuy Synthes,SUP-DEPUY,DePuy Synthes,EQU-118965,05078498084124,device,False,False,False,False,active,2,Lumbar Laminectomy; Spinal Microdiscectomy
INV-EQUI-MIDAS_REX_SPINE_SHAVER_DRILL,Midas Rex Spine Shaver / Drill,equipment,Power tool consumables,Medtronic,SUP-MEDTRONIC,Medtronic,EQU-194607,05011824493534,device,False,False,False,False,active,2,Lumbar Laminectomy; Spinal Microdiscectomy
INV-EQUI-STANDARD_DIATHERMY_MACHINE,Standard Diathermy Machine,equipment,Reusable theatre equipment,Smith & Nephew,SUP-SN,Smith & Nephew,EQU-394875,05040164005242,device,False,False,False,False,active,2,Reverse Shoulder Replacement; Total Shoulder Replacement
INV-EQUI-STRYKER_SMARTPUMP_TOURNIQUET_S,Stryker SmartPump Tourniquet System,equipment,Reusable theatre equipment,Stryker,SUP-STRYKER,Stryker UK,EQU-105135,05078680112805,device,False,False,False,False,active,8,Carpal Tunnel Release; MTPJ Fusion; ORIF Ankle; ORIF Tibia and Fibula; Open Achilles Tendon Repair; Percutaneous Trigger Finger Release; Thumb Carpometacarpal Joint Arthroplasty; Total Knee Replacement
INV-EQUI-STRYKER_SYSTEM_8_POWER_TOOL_KI,Stryker System 8 Power Tool Kit,equipment,Reusable theatre equipment,Stryker,SUP-STRYKER,Stryker UK,EQU-997622,05098262045053,device,False,False,False,False,active,1,Fixation of fracture of neck of femur using intramedullary nail
INV-EQUI-SUCTION_MACHINE,Suction Machine,equipment,Reusable theatre equipment,DePuy Synthes,SUP-DEPUY,DePuy Synthes,EQU-214109,05015869232260,device,False,False,False,False,active,2,Total Hip Replacement (Cemented); Total Knee Replacement
INV-DRAP-ANKLE_ARTHROSCOPY_DRAPE_PACK,Ankle Arthroscopy Drape Pack,drape,Arthroscopy,Unisurge,SUP-UNISURGE,Unisurge,DRA-518422,05056342160733,pack,True,True,False,False,active,1,Ankle Arthroscopy
INV-DRAP-APPROACH_DRAPE,Approach Drape,drape,Draping,Molnlycke,SUP-ZIMMER,Zimmer Biomet,DRA-851239,05043303654145,pack,True,True,False,False,active,1,Total Knee Replacement
INV-DRAP-BROWN_STOCKINETTE_UNISURGE_15C,"Brown Stockinette (Unisurge, 15cm x 1.5m, REF: F825195)",drape,Draping,Molnlycke,SUP-ZIMMER,Zimmer Biomet,DRA-626617,05001429401965,pack,True,True,False,False,active,1,Total Knee Replacement
INV-DRAP-EXTREMITY_DRAPE,Extremity Drape,drape,Draping,Ethicon,SUP-NHS-SUPPLY,NHS Supply Chain,DRA-783790,05098169340608,pack,True,True,False,False,active,1,Total Knee Replacement
INV-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P,Hand and Foot Aperture Drape Pack,drape,Draping,Unisurge,SUP-UNISURGE,Unisurge,DRA-710083,05056159514846,pack,True,True,False,False,active,5,Carpal Tunnel Release; MTPJ Fusion; Open Achilles Tendon Repair; Percutaneous Trigger Finger Release; Thumb Carpometacarpal Joint Arthroplasty
INV-DRAP-HIP_FRACTURE_DRAPE_PACK,Hip Fracture Drape Pack,drape,Draping,Ethicon,SUP-NHS-SUPPLY,NHS Supply Chain,DRA-347161,05048236629946,pack,True,True,False,False,active,1,Fixation of fracture of neck of femur using intramedullary nail
INV-DRAP-OPTAPE_X_1_USES_2_AROUND_THE_G,Optape x 1 (uses 2 around the glove on the ankle),drape,Draping,NHS Supply Chain,SUP-NHS-SUPPLY,NHS Supply Chain,DRA-454767,05044369957773,pack,True,True,False,False,active,1,Total Knee Replacement
INV-DRAP-PLASTIC_U_DRAPE,Plastic U drape,drape,Draping,Molnlycke,SUP-ARTHREX,Arthrex,DRA-698030,05014895134332,pack,True,True,False,False,active,1,Total Knee Replacement
INV-DRAP-REINFORCED_ADHESIVE_EDGE_DRAPE,Reinforced Adhesive Edge Drape (150x240cm),drape,Draping,NHS Supply Chain,SUP-NHS-SUPPLY,NHS Supply Chain,DRA-940301,05003791769367,pack,True,True,False,False,active,1,Total Knee Replacement
INV-DRAP-REINFORCED_ADHESIVE_EDGE_DRAPE,Reinforced Adhesive Edge Drape (150x240cm) x 2 (For the side and the extension for the bottom),drape,Draping,Molnlycke,SUP-SN,Smith & Nephew,DRA-532869,05020163287083,pack,True,True,False,False,active,1,Total Knee Replacement
INV-DRAP-REINFORCED_SPLIT_SHEET_200X260,Reinforced Split Sheet (200x260cm),drape,Draping,NHS Supply Chain,SUP-NHS-SUPPLY,NHS Supply Chain,DRA-720989,05072788957986,pack,True,True,False,False,active,1,Total Knee Replacement
INV-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC,Shoulder Arthroscopy Drape Pack,drape,Arthroscopy,Molnlycke,SUP-ARTHREX,Arthrex,DRA-941107,05077434873471,pack,True,True,False,False,active,2,Arthroscopic Biceps Tenodesis; Arthroscopic Rotator Cuff Repair
INV-DRAP-SHOULDER_SPLIT_SHEET_PACK,Shoulder Split Sheet Pack,drape,Draping,Ethicon,SUP-SN,Smith & Nephew,DRA-439863,05045581223623,pack,True,True,False,False,active,2,Reverse Shoulder Replacement; Total Shoulder Replacement
INV-DRAP-SPINE_SURGICAL_DRAPE_PACK,Spine Surgical Drape Pack,drape,Draping,NHS Supply Chain,SUP-NHS-SUPPLY,NHS Supply Chain,DRA-419954,05066587603669,pack,True,True,False,False,active,2,Lumbar Laminectomy; Spinal Microdiscectomy
INV-DRAP-TOTAL_HIP_DRAPE_PACK,Total Hip Drape Pack,drape,Draping,NHS Supply Chain,SUP-NHS-SUPPLY,NHS Supply Chain,DRA-770198,05096705466889,pack,True,True,False,False,active,1,Total Hip Replacement (Cemented)
INV-DRAP-TOTAL_KNEE_ARTHROPLASTY_DRAPE_,Total Knee Arthroplasty Drape Pack,drape,Draping,Unisurge,SUP-UNISURGE,Unisurge,DRA-918871,05073467065627,pack,True,True,False,False,active,1,Total Knee Replacement
INV-DRAP-UNIVERSAL_EXTREMITY_DRAPE_PACK,Universal Extremity Drape Pack,drape,Draping,Unisurge,SUP-UNISURGE,Unisurge,DRA-492540,05098069901627,pack,True,True,False,False,active,2,ORIF Ankle; ORIF Tibia and Fibula
INV-DRAP-WATER_REPELLENT,Water Repellent,drape,Draping,Unisurge,SUP-UNISURGE,Unisurge,DRA-629789,05004653755646,pack,True,True,False,False,active,1,Total Knee Replacement
INV-CONS-ARTHROSCOPY_FLUID_3L,Arthroscopy Fluid 3L,consumable,Arthroscopy,Ethicon,SUP-DEPUY,DePuy Synthes,CON-266520,05070805310033,bottle,True,True,False,False,active,3,Ankle Arthroscopy; Arthroscopic Biceps Tenodesis; Arthroscopic Rotator Cuff Repair
INV-CONS-BETADINE_PREP_SOLUTION,Betadine Prep Solution,consumable,Theatre consumables,NHS Supply Chain,SUP-NHS-SUPPLY,NHS Supply Chain,CON-757766,05092327193745,each,True,True,False,False,active,1,General orthopaedic theatre
INV-CONS-BLADDER_SYRINGE,Bladder Syringe,consumable,Theatre consumables,NHS Supply Chain,SUP-NHS-SUPPLY,NHS Supply Chain,CON-450442,05024190496631,pack,True,True,False,False,active,2,General orthopaedic theatre; Total Knee Replacement
INV-CONS-BONE_CEMENT_MIXING_BOWL_KIT,Bone Cement Mixing Bowl Kit,consumable,Bone cement and cementing,Unisurge,SUP-UNISURGE,Unisurge,CON-546755,05014919058651,pack,True,True,False,False,active,1,Total Hip Replacement (Cemented)
INV-CONS-BONE_WAX,Bone Wax,consumable,Theatre consumables,Ethicon,SUP-STRYKER,Stryker UK,CON-782658,05067165726284,pack,True,True,False,False,active,1,Lumbar Laminectomy
INV-CONS-CHLORHEXIDINE_2_APPLICATOR,Chlorhexidine 2% Applicator,consumable,Theatre consumables,Molnlycke,SUP-UNISURGE,Unisurge,CON-165563,05069453147379,pack,True,True,False,False,active,3,General orthopaedic theatre; Total Hip Replacement (Cemented); Total Knee Replacement
INV-CONS-DIATHERMY_PENCIL,Diathermy Pencil,consumable,Theatre consumables,Molnlycke,SUP-ZIMMER,Zimmer Biomet,CON-939628,05007527354549,pack,True,True,False,False,active,5,General orthopaedic theatre; Reverse Shoulder Replacement; Total Hip Replacement (Cemented); Total Knee Replacement; Total Shoulder Replacement
INV-CONS-DIATHERMY_TIP,Diathermy Tip,consumable,Theatre consumables,Ethicon,SUP-STRYKER,Stryker UK,CON-473109,05083136783777,each,True,True,False,False,active,1,General orthopaedic theatre
INV-CONS-ESCHMARK_BANDAGE,Eschmark Bandage,consumable,Theatre consumables,NHS Supply Chain,SUP-NHS-SUPPLY,NHS Supply Chain,CON-586060,05043634957885,box,True,True,False,False,active,2,General orthopaedic theatre; Total Knee Replacement
INV-CONS-GAUZE_SWABS_10X10,Gauze Swabs 10x10,consumable,Theatre consumables,Ethicon,SUP-ZIMMER,Zimmer Biomet,CON-932716,05074443135182,each,True,True,False,False,active,1,General orthopaedic theatre
INV-CONS-GAUZE_SWABS_5X5,Gauze Swabs 5x5,consumable,Theatre consumables,Unisurge,SUP-UNISURGE,Unisurge,CON-559710,05074989413435,each,True,True,False,False,active,1,General orthopaedic theatre
INV-CONS-IRRIGATION_FLUID_0_9_SALINE_1L,Irrigation Fluid 0.9% Saline 1L,consumable,Theatre consumables,Ethicon,SUP-STRYKER,Stryker UK,CON-877364,05082400842710,bottle,True,True,False,False,active,11,Fixation of fracture of neck of femur using intramedullary nail; General orthopaedic theatre; Lumbar Laminectomy; MTPJ Fusion; ORIF Ankle; ORIF Tibia and Fibula; Open Achilles Tendon Repair; Reverse Shoulder Replacement; Spinal Microdiscectomy; Thumb Carpometacarpal Joint Arthroplasty; Total Shoulder Replacement
INV-CONS-IRRIGATION_FLUID_0_9_SALINE_3L,Irrigation Fluid 0.9% Saline 3L,consumable,Theatre consumables,Ethicon,SUP-UNISURGE,Unisurge,CON-319329,05077520471167,bottle,True,True,False,False,active,3,General orthopaedic theatre; Total Hip Replacement (Cemented); Total Knee Replacement
INV-CONS-LIGHT_HANDLE_COVERS,Light Handle Covers,consumable,Theatre consumables,NHS Supply Chain,SUP-NHS-SUPPLY,NHS Supply Chain,CON-468833,05090229413186,pack,True,True,False,False,active,3,General orthopaedic theatre; Total Hip Replacement (Cemented); Total Knee Replacement
INV-CONS-LOCAL_ANAESTHETIC_SYRINGE,Local Anaesthetic Syringe,consumable,Theatre consumables,Unisurge,SUP-UNISURGE,Unisurge,CON-528142,05086774964990,pack,True,True,False,False,active,2,Carpal Tunnel Release; Percutaneous Trigger Finger Release
INV-CONS-PULSE_LAVAGE_TIP,Pulse Lavage Tip,consumable,Theatre consumables,NHS Supply Chain,SUP-NHS-SUPPLY,NHS Supply Chain,CON-461988,05033412328120,box,True,True,False,False,active,2,Total Hip Replacement (Cemented); Total Knee Replacement
INV-CONS-PUMP_TUBING,Pump Tubing,consumable,Theatre consumables,Molnlycke,SUP-UNISURGE,Unisurge,CON-223035,05040344713493,box,True,True,False,False,active,3,Ankle Arthroscopy; Arthroscopic Biceps Tenodesis; Arthroscopic Rotator Cuff Repair
INV-CONS-SAW_BLADE_CONMED_X_1_REF_5071_,Saw Blade (Conmed) x 1 Ref#5071-201,consumable,Power tool consumables,NHS Supply Chain,SUP-NHS-SUPPLY,NHS Supply Chain,CON-709173,05083242102499,box,True,True,False,True,active,1,General orthopaedic theatre
INV-CONS-SCALPEL_BLADE_10,Scalpel Blade #10,consumable,Power tool consumables,Molnlycke,SUP-DEPUY,DePuy Synthes,CON-304525,05074648877190,box,True,True,False,True,active,1,General orthopaedic theatre
INV-CONS-SCALPEL_BLADE_15,Scalpel Blade #15,consumable,Power tool consumables,Ethicon,SUP-MEDTRONIC,Medtronic,CON-444987,05001399049027,pack,True,True,False,True,active,1,General orthopaedic theatre
INV-CONS-SHARPS_PAD,Sharps Pad,consumable,Theatre consumables,Molnlycke,SUP-MEDTRONIC,Medtronic,CON-294289,05029671756551,each,True,True,False,False,active,2,General orthopaedic theatre; Total Knee Replacement
INV-CONS-SKIN_MARKER_PEN,Skin Marker Pen,consumable,Theatre consumables,Ethicon,SUP-NHS-SUPPLY,NHS Supply Chain,CON-489282,05074680715451,box,True,True,False,False,active,13,Carpal Tunnel Release; Fixation of fracture of neck of femur using intramedullary nail; General orthopaedic theatre; MTPJ Fusion; ORIF Ankle; ORIF Tibia and Fibula; Open Achilles Tendon Repair; Percutaneous Trigger Finger Release; Reverse Shoulder Replacement; Thumb Carpometacarpal Joint Arthroplasty; Total Hip Replacement (Cemented); Total Knee Replacement; Total Shoulder Replacement
INV-CONS-STERILE_GLOVES,Sterile Gloves,consumable,Theatre consumables,NHS Supply Chain,SUP-NHS-SUPPLY,NHS Supply Chain,CON-770641,05087603859770,pair,True,True,False,False,active,4,Carpal Tunnel Release; Percutaneous Trigger Finger Release; Total Hip Replacement (Cemented); Total Knee Replacement
INV-CONS-STERILE_GLOVES_PAIR,Sterile Gloves (Pair),consumable,Theatre consumables,Unisurge,SUP-UNISURGE,Unisurge,CON-272669,05048247710932,pair,True,True,False,False,active,1,General orthopaedic theatre
INV-CONS-STERILE_GOWN,Sterile Gown,consumable,Theatre consumables,Ethicon,SUP-STRYKER,Stryker UK,CON-565597,05086131712748,pack,True,True,False,False,active,3,General orthopaedic theatre; Total Hip Replacement (Cemented); Total Knee Replacement
INV-CONS-SUCTION_TUBING,Suction Tubing,consumable,Theatre consumables,Ethicon,SUP-NHS-SUPPLY,NHS Supply Chain,CON-237071,05077378263982,each,True,True,False,False,active,14,Ankle Arthroscopy; Arthroscopic Biceps Tenodesis; Arthroscopic Rotator Cuff Repair; Fixation of fracture of neck of femur using intramedullary nail; General orthopaedic theatre; Lumbar Laminectomy; MTPJ Fusion; ORIF Ankle; ORIF Tibia and Fibula; Open Achilles Tendon Repair; Spinal Microdiscectomy; Thumb Carpometacarpal Joint Arthroplasty; Total Hip Replacement (Cemented); Total Knee Replacement
INV-CONS-SUCTION_YANKAUER_TIP,Suction Yankauer Tip,consumable,Theatre consumables,Ethicon,SUP-NHS-SUPPLY,NHS Supply Chain,CON-857627,05058404499727,pack,True,True,False,False,active,1,General orthopaedic theatre
INV-CONS-SURGICAL_PATTIES,Surgical Patties,consumable,Theatre consumables,Molnlycke,SUP-ZIMMER,Zimmer Biomet,CON-918808,05058867533963,box,True,True,False,False,active,1,Spinal Microdiscectomy
INV-CONS-SUTURE_REMOVAL_KIT,Suture Removal Kit,consumable,Theatre consumables,NHS Supply Chain,SUP-NHS-SUPPLY,NHS Supply Chain,CON-543217,05057662702895,each,True,True,False,False,active,1,General orthopaedic theatre
INV-CONS-SYRINGE_10ML,Syringe 10ml,consumable,Theatre consumables,Molnlycke,SUP-DEPUY,DePuy Synthes,CON-649955,05087026217459,pack,True,True,False,False,active,1,General orthopaedic theatre
INV-CONS-SYRINGE_20ML,Syringe 20ml,consumable,Theatre consumables,Molnlycke,SUP-DEPUY,DePuy Synthes,CON-676309,05058657809134,each,True,True,False,False,active,1,General orthopaedic theatre
INV-CONS-SYRINGE_50ML,Syringe 50ml,consumable,Theatre consumables,NHS Supply Chain,SUP-NHS-SUPPLY,NHS Supply Chain,CON-260264,05061172400504,box,True,True,False,False,active,1,General orthopaedic theatre
INV-CONS-ULTRASOUND_GEL,Ultrasound Gel,consumable,Theatre consumables,Ethicon,SUP-NHS-SUPPLY,NHS Supply Chain,CON-777492,05023869222196,pack,True,True,False,False,active,1,General orthopaedic theatre
INV-DISP-ARTHROSCOPY_SHAVER_BLADE_4_0MM,Arthroscopy Shaver Blade 4.0mm,disposable,Arthroscopy,DePuy Synthes,SUP-DEPUY,DePuy Synthes,DIS-482848,05079237474074,pack,True,True,False,True,active,4,Ankle Arthroscopy; Arthroscopic Biceps Tenodesis; Arthroscopic Rotator Cuff Repair; General orthopaedic theatre
INV-DISP-ARTHROSCOPY_SHAVER_BLADE_5_5MM,Arthroscopy Shaver Blade 5.5mm,disposable,Arthroscopy,DePuy Synthes,SUP-DEPUY,DePuy Synthes,DIS-769275,05017594647436,box,True,True,False,True,active,1,General orthopaedic theatre
INV-DISP-CEMENT_DELIVERY_GUN_NOZZLE,Cement Delivery Gun Nozzle,disposable,Bone cement and cementing,Stryker,SUP-STRYKER,Stryker UK,DIS-643995,05036959440640,pack,True,True,False,False,active,3,General orthopaedic theatre; Total Hip Replacement (Cemented); Total Knee Replacement
INV-DISP-CEMENT_MIXING_CARTRIDGE,Cement Mixing Cartridge,disposable,Bone cement and cementing,Stryker,SUP-STRYKER,Stryker UK,DIS-335163,05097439533942,pack,True,True,False,False,active,3,General orthopaedic theatre; Total Hip Replacement (Cemented); Total Knee Replacement
INV-DISP-DISPOSABLE_BURR_3_5MM,Disposable Burr 3.5mm,disposable,Theatre consumables,Stryker,SUP-STRYKER,Stryker UK,DIS-886087,05004709521456,each,True,True,False,False,active,3,General orthopaedic theatre; Lumbar Laminectomy; Spinal Microdiscectomy
INV-DISP-DISPOSABLE_BURR_4_0MM,Disposable Burr 4.0mm,disposable,Theatre consumables,DePuy Synthes,SUP-DEPUY,DePuy Synthes,DIS-159881,05028588424745,each,True,True,False,False,active,1,General orthopaedic theatre
INV-DISP-DISPOSABLE_CANNULA_SET,Disposable Cannula Set,disposable,Theatre consumables,Smith & Nephew,SUP-SN,Smith & Nephew,DIS-699199,05012368516048,each,True,True,False,False,active,2,Arthroscopic Biceps Tenodesis; Arthroscopic Rotator Cuff Repair
INV-DISP-DISPOSABLE_DRILL_BIT_2_0MM,Disposable Drill Bit 2.0mm,disposable,Power tool consumables,Smith & Nephew,SUP-SN,Smith & Nephew,DIS-587999,05054965137098,box,True,True,False,False,active,2,MTPJ Fusion; Thumb Carpometacarpal Joint Arthroplasty
INV-DISP-DISPOSABLE_DRILL_BIT_2_5MM,Disposable Drill Bit 2.5mm,disposable,Power tool consumables,DePuy Synthes,SUP-DEPUY,DePuy Synthes,DIS-235744,05017461200471,each,True,True,False,False,active,1,ORIF Ankle
INV-DISP-DISPOSABLE_DRILL_BIT_3_2MM,Disposable Drill Bit 3.2mm,disposable,Power tool consumables,DePuy Synthes,SUP-DEPUY,DePuy Synthes,DIS-170918,05082675869261,box,True,True,False,False,active,6,Fixation of fracture of neck of femur using intramedullary nail; General orthopaedic theatre; ORIF Tibia and Fibula; Reverse Shoulder Replacement; Total Knee Replacement; Total Shoulder Replacement
INV-DISP-DISPOSABLE_DRILL_BIT_4_5MM,Disposable Drill Bit 4.5mm,disposable,Power tool consumables,Smith & Nephew,SUP-SN,Smith & Nephew,DIS-863026,05040537735158,pack,True,True,False,False,active,1,General orthopaedic theatre
INV-DISP-DISPOSABLE_FEMORAL_CANAL_BRUSH,Disposable Femoral Canal Brush,disposable,Theatre consumables,Arthrex,SUP-ARTHREX,Arthrex,DIS-297425,05006431713900,box,True,True,False,False,active,1,Total Hip Replacement (Cemented)
INV-DISP-DISPOSABLE_REAMER_LARGE,Disposable Reamer - Large,disposable,Power tool consumables,DePuy Synthes,SUP-DEPUY,DePuy Synthes,DIS-741711,05029318393352,pack,True,True,False,False,active,1,Total Hip Replacement (Cemented)
INV-DISP-DISPOSABLE_REAMER_LARGE,Disposable Reamer – Large,disposable,Power tool consumables,Stryker,SUP-STRYKER,Stryker UK,DIS-978257,05042284210205,each,True,True,False,False,active,1,General orthopaedic theatre
INV-DISP-DISPOSABLE_REAMER_SMALL,Disposable Reamer – Small,disposable,Power tool consumables,Arthrex,SUP-ARTHREX,Arthrex,DIS-846967,05002402681177,box,True,True,False,False,active,1,General orthopaedic theatre
INV-DISP-DISPOSABLE_SAW_BLADE_OSCILLATI,Disposable Saw Blade - Oscillating,disposable,Power tool consumables,Stryker,SUP-STRYKER,Stryker UK,DIS-289494,05078390847007,box,True,True,False,True,active,1,Total Knee Replacement
INV-DISP-DISPOSABLE_SAW_BLADE_RECIPROCA,Disposable Saw Blade - Reciprocating,disposable,Power tool consumables,Smith & Nephew,SUP-SN,Smith & Nephew,DIS-151093,05017711592124,pack,True,True,False,True,active,2,Reverse Shoulder Replacement; Total Shoulder Replacement
INV-DISP-DISPOSABLE_SAW_BLADE_OSCILLATI,Disposable Saw Blade – Oscillating,disposable,Power tool consumables,Arthrex,SUP-ARTHREX,Arthrex,DIS-188030,05069847896118,pack,True,True,False,True,active,1,General orthopaedic theatre
