Hospital,Stock area,Shelf/bin,Item description,Catalogue no,Batch/lot,Expiry,Qty counted,Unit,Checked by,Checked at,Notes
Riverside Elective Surgical Hub,Vendor Loan Kit Holding Bay,A2,Plastic U drape, DRA-698030 ,B672133,2026-06-18,14,pack,Team Leader,2026-07-07T02:00:00+00:00, Implant coordinator to confirm sizes 
 Local NHS Trust ,Orthopaedic Implant Store,C2,Femoral Component,IMP-768112,B379947,2026-07-15,0,each,Deputy Team Leader,2026-07-06T01:00:00+00:00, Implant coordinator to confirm sizes 
Riverside Elective Surgical Hub,Main Theatre Sterile Store, A1 ,R3 Acetabular Cup Component,IMP-739782, B992744 ,2026-07-15,17,ea,Stock and Procurement Manager,2026-07-06T02:00:00+00:00,Packaging damaged - review
Riverside Elective Surgical Hub,Orthopaedic Implant Store,A2,Skin Marker Pen,CON-489282, B132591 ,2026-06-18,74,box, Deputy Team Leader ,2026-07-07T09:00:00+00:00,Top-up requested
Local NHS Trust,Vendor Loan Kit Holding Bay,C2, Hand and Foot Aperture Drape Pack ,DRA-710083,B197584,2026-06-18,24,pk,Stock and Procurement Manager,2026-07-05T08:00:00+00:00,Top-up requested
 Riverside Elective Surgical Hub ,Vendor Loan Kit Holding Bay,Implant Cabinet,FiberWire #2,SUT-455452,B830917,2028-06-27,77,bx, Theatre Stores Coordinator ,2026-07-07T13:00:00+00:00,Top-up requested
Northbank Orthopaedic Centre, Trauma Emergency Cupboard ,B1, DePuy Synthes TFNA Instrument Tray , INS-534059 ,B366817,N/A,1,tray, Deputy Team Leader ,2026-07-06T08:00:00+00:00, Packaging damaged - review 
Northbank Orthopaedic Centre, Main Theatre Sterile Store ,Top-up Trolley,Surgical Patties, DIS-213773 ,B490722,2026-10-06,75,ea,Deputy Team Leader, 2026-07-06T23:00:00+00:00 ,N/A
Local NHS Trust,Day Surgery Store,A1,Pump Tubing, CON-223035 ,B190581,2026-10-06,87,bx,Deputy Team Leader,2026-07-07T10:00:00+00:00,Packaging damaged - review
 Local NHS Trust ,Orthopaedic Implant Store,A2,Total Knee Arthroplasty Drape Pack,DRA-918871, B420214 , 2027-07-08 , 11 ,pack,Deputy Team Leader, 2026-07-05T20:00:00+00:00 ,Implant coordinator to confirm sizes
Local NHS Trust,Day Surgery Store,B1,Disposable Trocar Set, DIS-921586 , B631958 ,2027-07-08,127,pack,Stock and Procurement Manager,2026-07-06T04:00:00+00:00,Counted during morning theatre check
Local NHS Trust,Orthopaedic Implant Store,A2,Tubigrip Size B,DRE-731072,B818651, 2026-07-15 ,35,ea, Deputy Team Leader ,2026-07-05T08:00:00+00:00,Top-up requested
Riverside Elective Surgical Hub,Main Theatre Sterile Store,B4,Skin Marker Pen,CON-489282,B845702,2028-06-27,46,bx,Team Leader,2026-07-05T11:00:00+00:00,Implant coordinator to confirm sizes
 Riverside Elective Surgical Hub , Vendor Loan Kit Holding Bay ,B1,Hip Fracture Drape Pack, DRA-347161 ,B305047,2027-07-08,42,pk, Stock and Procurement Manager ,2026-07-05T13:00:00+00:00,
Northbank Orthopaedic Centre,Trauma Emergency Cupboard,B4,Heraeus Cement Gun, INS-416554 ,B570325,N/A, 4 , tray ,Stock and Procurement Manager,2026-07-07T06:00:00+00:00,
 Local NHS Trust ,Trauma Emergency Cupboard,B4, Vicryl 3-0 , SUT-593837 ,B908688, 2028-06-27 ,35,box, Theatre Stores Coordinator ,2026-07-07T01:00:00+00:00,Packaging damaged - review
Local NHS Trust,Day Surgery Store,B1,Disposable Cannula Set,DIS-699199,B691655,2026-10-06,65,ea,Theatre Stores Coordinator,2026-07-07T14:00:00+00:00,Implant coordinator to confirm sizes
Local NHS Trust,Main Theatre Sterile Store,B1,Bladder Syringe,CON-450442,B866437, 2026-10-06 ,8,pk,Deputy Team Leader,2026-07-05T09:00:00+00:00,Implant coordinator to confirm sizes
Riverside Elective Surgical Hub,Vendor Loan Kit Holding Bay,C2, Glenoid Base Component ,IMP-748674,B673167,2027-07-08,11,ea,Theatre Stores Coordinator,2026-07-07T19:00:00+00:00, Packaging damaged - review 
Northbank Orthopaedic Centre,Vendor Loan Kit Holding Bay, B1 ,Monocryl 3-0,SUT-491334,B465004,2027-01-04,75,bx,Deputy Team Leader, 2026-07-05T15:00:00+00:00 ,Packaging damaged - review
Local NHS Trust,Main Theatre Sterile Store,C2,Nylon 3-0,SUT-566420, B681489 ,2026-06-18,47,box,Team Leader, 2026-07-07T02:00:00+00:00 ,Packaging damaged - review
Northbank Orthopaedic Centre,Trauma Emergency Cupboard,Implant Cabinet,Medacta Shoulder System (MSS),INS-978068,B726822,N/A,1,tray,Deputy Team Leader,2026-07-05T09:00:00+00:00,N/A
Riverside Elective Surgical Hub,Day Surgery Store,C2, Femoral Stem Component , IMP-103107 ,B953568,2026-07-15,1,ea,Deputy Team Leader,2026-07-05T11:00:00+00:00,Implant coordinator to confirm sizes
Northbank Orthopaedic Centre, Main Theatre Sterile Store ,B1, Glenosphere Component , IMP-895066 , B446620 ,2026-07-15,7, each , Deputy Team Leader ,2026-07-05T23:00:00+00:00,Implant coordinator to confirm sizes
Northbank Orthopaedic Centre,Day Surgery Store,B1,Universal Extremity Drape Pack,DRA-492540,B110048,2028-06-27,8,pk,Theatre Stores Coordinator,2026-07-07T20:00:00+00:00, Implant coordinator to confirm sizes 
 Northbank Orthopaedic Centre ,Main Theatre Sterile Store,B1,Steinmann Pin 4.0mm,DIS-459987,B110142,2026-10-06, 30 ,each,Theatre Stores Coordinator,2026-07-06T04:00:00+00:00, Packaging damaged - review 
Northbank Orthopaedic Centre,Vendor Loan Kit Holding Bay, B1 ,Eschmark Bandage,CON-586060,B729153,2027-07-08,147,bx,Deputy Team Leader,2026-07-06T03:00:00+00:00,N/A
 Local NHS Trust ,Trauma Emergency Cupboard,A2, K-wire 2.0mm , DIS-265239 ,B448787,2028-06-27, 29 ,each,Team Leader, 2026-07-07T13:00:00+00:00 ,N/A
Northbank Orthopaedic Centre, Main Theatre Sterile Store ,A2,PDS II 2-0,SUT-498087,B571706,2026-07-15,66,box,Theatre Stores Coordinator,2026-07-05T03:00:00+00:00,Top-up requested
Riverside Elective Surgical Hub,Main Theatre Sterile Store,Top-up Trolley, Arthrex Cuff Repair Kit ,INS-710385,B588002, N/A ,0,tray, Deputy Team Leader ,2026-07-05T06:00:00+00:00, Packaging damaged - review 
Riverside Elective Surgical Hub,Trauma Emergency Cupboard,B4,Ankle Arthroscopy Drape Pack,DRA-518422,B892313,2027-07-08,25,pack,Theatre Stores Coordinator,2026-07-06T07:00:00+00:00,Packaging damaged - review
 Northbank Orthopaedic Centre ,Orthopaedic Implant Store,C2,Scalpel Blade #15, DIS-614200 ,B229144,2027-07-08,137,ea,Theatre Stores Coordinator,2026-07-05T09:00:00+00:00,
Northbank Orthopaedic Centre,Trauma Emergency Cupboard, B4 ,Disposable Reamer – Large, DIS-978257 ,B242239, 2026-06-18 ,138,each,Team Leader, 2026-07-07T02:00:00+00:00 ,Implant coordinator to confirm sizes
 Northbank Orthopaedic Centre ,Vendor Loan Kit Holding Bay, A2 ,Adaptic,DRE-897387,B646230,2026-07-15,11,ea, Deputy Team Leader ,2026-07-07T14:00:00+00:00,Implant coordinator to confirm sizes
Northbank Orthopaedic Centre, Trauma Emergency Cupboard ,A1,Small Joint Arthroscopy Set,INS-702882, B528090 ,N/A,5,tray,Team Leader,2026-07-05T20:00:00+00:00,Counted during morning theatre check
Riverside Elective Surgical Hub,Trauma Emergency Cupboard,Top-up Trolley,TigerWire #2,SUT-576020,B648887,2027-07-08,78,box,Theatre Stores Coordinator,2026-07-06T04:00:00+00:00,Top-up requested
Northbank Orthopaedic Centre, Main Theatre Sterile Store ,A2,Anatomic Tibia Locking Plate Set,IMP-326485,B966028,2026-10-06, 15 , ea ,Team Leader, 2026-07-07T14:00:00+00:00 ,Top-up requested
Northbank Orthopaedic Centre,Main Theatre Sterile Store,Implant Cabinet,Syringe 20ml,CON-676309, B122977 ,2026-08-07, 90 , ea ,Team Leader,2026-07-06T22:00:00+00:00,Packaging damaged - review
Riverside Elective Surgical Hub,Main Theatre Sterile Store,C2,Ethilon 3-0,SUT-994297,B831531,2026-10-06, 53 , bx ,Deputy Team Leader, 2026-07-05T01:00:00+00:00 ,Counted during morning theatre check
Riverside Elective Surgical Hub, Day Surgery Store ,B4,Monocryl 4-0,SUT-698312,B222692, 2027-01-04 ,41,box, Stock and Procurement Manager ,2026-07-05T12:00:00+00:00,Top-up requested
Riverside Elective Surgical Hub,Trauma Emergency Cupboard,Implant Cabinet, Irrigation Fluid 0.9% Saline 3L , CON-319329 ,B577309,2027-07-08, 28 , btl ,Theatre Stores Coordinator,2026-07-05T05:00:00+00:00,Counted during morning theatre check
 Local NHS Trust ,Main Theatre Sterile Store,A2,Extremity Drape, DRA-783790 ,B238943,2026-08-07,21,pk, Stock and Procurement Manager , 2026-07-06T09:00:00+00:00 , Packaging damaged - review 
Local NHS Trust,Main Theatre Sterile Store, Implant Cabinet ,Disposable Reamer – Large,DIS-978257,B361609,2026-07-15,59,ea, Stock and Procurement Manager ,2026-07-05T19:00:00+00:00,Top-up requested
 Northbank Orthopaedic Centre ,Main Theatre Sterile Store, Implant Cabinet ,Jackson Spinal Surgery Table,EQU-118965,B106933,N/A,4,device,Stock and Procurement Manager,2026-07-05T20:00:00+00:00,Counted during morning theatre check
Local NHS Trust, Day Surgery Store ,A1,Tenodesis Screw,IMP-320487,B142383,2028-06-27,13,each,Stock and Procurement Manager,2026-07-06T08:00:00+00:00,Packaging damaged - review
Northbank Orthopaedic Centre,Main Theatre Sterile Store,Implant Cabinet,Guide Wire, DIS-203017 ,B593393, 2026-08-07 ,126,bx, Theatre Stores Coordinator , 2026-07-06T22:00:00+00:00 ,Counted during morning theatre check
Local NHS Trust, Vendor Loan Kit Holding Bay , B1 , Cement Vacuum Footpump ,EQU-850094, B135466 ,N/A,0, device ,Team Leader, 2026-07-05T01:00:00+00:00 , Counted during morning theatre check 
Riverside Elective Surgical Hub,Orthopaedic Implant Store,B4,Reinforced Split Sheet (200x260cm), DRA-720989 ,B635482, 2026-06-18 ,21,pack,Theatre Stores Coordinator,2026-07-07T16:00:00+00:00,N/A
Local NHS Trust,Trauma Emergency Cupboard,B4,Scalpel Blade #15,DIS-614200, B120053 ,2026-08-07,50,ea,Team Leader, 2026-07-07T12:00:00+00:00 ,Packaging damaged - review
Local NHS Trust,Vendor Loan Kit Holding Bay,A1,Guide Wire, DIS-203017 , B225636 , 2027-01-04 , 58 ,box,Theatre Stores Coordinator,2026-07-05T05:00:00+00:00,Implant coordinator to confirm sizes
Northbank Orthopaedic Centre,Orthopaedic Implant Store,A1,Wool and Crepe,DRE-519514,B499194,2026-06-18,55,pk, Stock and Procurement Manager ,2026-07-07T08:00:00+00:00,Top-up requested
 Riverside Elective Surgical Hub , Vendor Loan Kit Holding Bay ,Implant Cabinet,Aquacel Ag,DRE-388006,B926867,2026-07-15, 46 ,ea,Stock and Procurement Manager, 2026-07-05T17:00:00+00:00 ,Counted during morning theatre check
Local NHS Trust,Day Surgery Store,A2,Vicryl 1,SUT-255326,B532961,2026-08-07,73, box ,Team Leader,2026-07-05T15:00:00+00:00,Packaging damaged - review
 Northbank Orthopaedic Centre ,Orthopaedic Implant Store,C2,FiberTape 2mm, SUT-133813 ,B533301,2027-01-04,56,box,Team Leader, 2026-07-07T09:00:00+00:00 ,Top-up requested
Northbank Orthopaedic Centre, Main Theatre Sterile Store ,Implant Cabinet,Diathermy Pencil,CON-939628,B542828,2026-06-18, 95 , pk ,Stock and Procurement Manager,2026-07-06T12:00:00+00:00,Counted during morning theatre check
Riverside Elective Surgical Hub,Orthopaedic Implant Store, B1 ,Ankle Arthroscopy Drape Pack,DRA-518422,B991737,2027-01-04, 6 ,pk,Team Leader,2026-07-07T21:00:00+00:00, Implant coordinator to confirm sizes 
Riverside Elective Surgical Hub,Orthopaedic Implant Store,Top-up Trolley, Irrigation Fluid 0.9% Saline 3L ,CON-319329,B489933,2027-01-04, 72 ,bottle,Stock and Procurement Manager,2026-07-06T15:00:00+00:00,Implant coordinator to confirm sizes
Riverside Elective Surgical Hub,Vendor Loan Kit Holding Bay, Implant Cabinet ,PDS II 2-0,SUT-498087,B695417,2028-06-27,38,bx,Team Leader,2026-07-07T08:00:00+00:00,Implant coordinator to confirm sizes
Northbank Orthopaedic Centre,Trauma Emergency Cupboard, A1 ,Prolene 4-0,SUT-425320,B761938,2027-07-08,48,bx,Deputy Team Leader,2026-07-06T15:00:00+00:00,Top-up requested
 Northbank Orthopaedic Centre ,Day Surgery Store,A2,Ti-Cron #2,SUT-633543, B675191 ,2026-10-06,73, box ,Stock and Procurement Manager,2026-07-05T15:00:00+00:00, Top-up requested 
Local NHS Trust, Trauma Emergency Cupboard ,B1,Shoulder Arthroscopy Drape Pack,DRA-941107, B190025 ,2026-06-18, 23 , pk ,Theatre Stores Coordinator,2026-07-05T09:00:00+00:00, Packaging damaged - review 
Northbank Orthopaedic Centre,Main Theatre Sterile Store,Implant Cabinet,Humeral Tray,IMP-241240, B275526 ,2026-07-15, 3 ,ea,Deputy Team Leader,2026-07-07T11:00:00+00:00,Counted during morning theatre check
Riverside Elective Surgical Hub,Vendor Loan Kit Holding Bay,A1,Light Handle Covers,CON-468833,B806866, 2026-08-07 , 35 ,pk, Team Leader , 2026-07-05T18:00:00+00:00 ,Implant coordinator to confirm sizes
Northbank Orthopaedic Centre,Trauma Emergency Cupboard,Implant Cabinet,Scalpel Blade #10,CON-304525,B162804,2027-01-04, 58 ,bx,Theatre Stores Coordinator,2026-07-07T17:00:00+00:00,Counted during morning theatre check
Riverside Elective Surgical Hub,Main Theatre Sterile Store,A2,Disposable Drill Bit 3.2mm,DIS-170918,B690016,2028-06-27, 34 , bx ,Theatre Stores Coordinator,2026-07-05T20:00:00+00:00,Counted during morning theatre check
Northbank Orthopaedic Centre,Orthopaedic Implant Store,C2,Disposable Saw Blade – Reciprocating, DIS-602690 ,B257212,2028-06-27, 85 ,bx,Theatre Stores Coordinator, 2026-07-07T09:00:00+00:00 ,Counted during morning theatre check
Riverside Elective Surgical Hub,Trauma Emergency Cupboard,Implant Cabinet,Suture Removal Kit,CON-543217, B668458 ,2026-07-15,55,each, Deputy Team Leader ,2026-07-06T07:00:00+00:00,Packaging damaged - review
Northbank Orthopaedic Centre,Day Surgery Store,A2, SutureTape Anchors ,IMP-319009, B240829 ,2027-07-08,8,each,Team Leader, 2026-07-06T11:00:00+00:00 ,Counted during morning theatre check
 Northbank Orthopaedic Centre ,Trauma Emergency Cupboard,A2,Anatomic Tibia Locking Plate Set, IMP-326485 ,B956794,2027-01-04,10, ea ,Deputy Team Leader, 2026-07-05T23:00:00+00:00 ,Implant coordinator to confirm sizes
Local NHS Trust,Vendor Loan Kit Holding Bay,C2,Ultrasound Gel,CON-777492,B925220,2026-07-15, 150 ,pack,Stock and Procurement Manager,2026-07-07T12:00:00+00:00, Packaging damaged - review 
Riverside Elective Surgical Hub,Main Theatre Sterile Store,Top-up Trolley,Diathermy Machine, EQU-431764 ,B329344,N/A,1, unit ,Stock and Procurement Manager, 2026-07-07T17:00:00+00:00 ,Packaging damaged - review
Riverside Elective Surgical Hub,Orthopaedic Implant Store,B1, Stryker System 8 Power Tool Kit ,EQU-997622,B186702,N/A, 1 ,unit,Stock and Procurement Manager, 2026-07-07T12:00:00+00:00 ,Top-up requested
Local NHS Trust,Orthopaedic Implant Store,Implant Cabinet,K-wire 2.0mm, DIS-265239 ,B898169,2026-06-18,77,each,Deputy Team Leader,2026-07-05T13:00:00+00:00,Packaging damaged - review
Riverside Elective Surgical Hub,Vendor Loan Kit Holding Bay, A2 ,Disposable Saw Blade - Reciprocating,DIS-151093,B939767, 2026-10-06 ,50,pack,Stock and Procurement Manager,2026-07-06T13:00:00+00:00,Top-up requested
Northbank Orthopaedic Centre, Day Surgery Store ,A2,Vicryl 2-0,SUT-478642,B586208,2026-10-06,70,bx,Deputy Team Leader, 2026-07-06T21:00:00+00:00 ,Implant coordinator to confirm sizes
Riverside Elective Surgical Hub,Vendor Loan Kit Holding Bay,Implant Cabinet,Lag Screw Kit,IMP-633470,B147727,2026-06-18,1,ea,Stock and Procurement Manager,2026-07-05T18:00:00+00:00, Counted during morning theatre check 
Local NHS Trust,Trauma Emergency Cupboard,B1,SutureTape Anchors,IMP-319009,B276831, 2027-01-04 ,10,each,Team Leader, 2026-07-06T17:00:00+00:00 ,Implant coordinator to confirm sizes
Northbank Orthopaedic Centre,Orthopaedic Implant Store,C2,Spine Surgical Drape Pack,DRA-419954, B295440 ,2026-07-15,44,pack,Deputy Team Leader,2026-07-07T13:00:00+00:00,N/A
Northbank Orthopaedic Centre,Main Theatre Sterile Store,Implant Cabinet,Aquacel Ag,DRE-388006, B472787 ,2026-08-07, 13 ,each,Deputy Team Leader, 2026-07-06T20:00:00+00:00 ,Packaging damaged - review
Riverside Elective Surgical Hub,Day Surgery Store, C2 ,Cement Mixing Cartridge, DIS-335163 ,B722886,2027-01-04,32,pk,Team Leader,2026-07-07T14:00:00+00:00,N/A
Local NHS Trust,Main Theatre Sterile Store, B1 ,Nylon 4-0,SUT-765664,B989203,2027-01-04,75,box,Stock and Procurement Manager,2026-07-05T11:00:00+00:00, Top-up requested 
Local NHS Trust, Trauma Emergency Cupboard ,B1,Disposable Cannula Set,DIS-699199,B700534,2028-06-27,145, each ,Deputy Team Leader,2026-07-06T09:00:00+00:00,Packaging damaged - review
Local NHS Trust,Orthopaedic Implant Store,C2,PDS II 1, SUT-456828 ,B682316,2026-07-15, 41 , bx ,Theatre Stores Coordinator,2026-07-07T01:00:00+00:00, Top-up requested 
Northbank Orthopaedic Centre,Main Theatre Sterile Store, B4 ,Steinmann Pin 4.0mm,DIS-459987,B215795,2026-08-07,10,ea,Stock and Procurement Manager, 2026-07-07T12:00:00+00:00 , Top-up requested 
